id,model_name,layer,column_name,expression,origin_table,origin_column,transformation_type,transformation_chain,transformation_chain_plain,description
CL0001,knowledge_blocker_state,knowledge,term_id,bf.term_id,ci,term_id,direct,,,
CL0002,knowledge_blocker_state,knowledge,term_name,bf.term_name,ci,term_name,direct,,,
CL0003,knowledge_blocker_state,knowledge,term_status,bf.term_status,ci,term_status,direct,,,
CL0004,knowledge_blocker_state,knowledge,iter_idx,bf.iter_idx,ci,iter_idx,direct,,,
CL0005,knowledge_blocker_state,knowledge,blocker_idx,bf.blocker_idx,bgs,i,direct,,,
CL0006,knowledge_blocker_state,knowledge,blocker_short_title,bf.blocker_short_title,blockers_filed,blocker_short_title,direct,,,
CL0007,knowledge_blocker_state,knowledge,blocker_type,bf.blocker_type,blockers_filed,blocker_type,direct,,,
CL0008,knowledge_blocker_state,knowledge,resolves_in,bf.resolves_in,blockers_filed,resolves_in,direct,,,
CL0009,knowledge_blocker_state,knowledge,tables_json,bf.tables_json,blockers_filed,tables_json,direct,,,
CL0010,knowledge_blocker_state,knowledge,blocker_json,"json_extract(
            ci.iter_json,
            '$.llm_response.blockers[' || bgs.i || ']'
        )",ci,iter_json,derived,"json_extract(
            ci.iter_json,
            '$.llm_response.blockers[' || bgs.i || ']'
        )",Individual blocker detail from AI response,
CL0011,knowledge_blocker_state,knowledge,resolution_status,r.resolution_status,resolutions,resolution_status,direct,,,
CL0012,knowledge_blocker_state,knowledge,evidence,r.evidence,resolutions,evidence,direct,,,
CL0013,knowledge_blocker_state,knowledge,current_status,"CASE
        WHEN r.resolution_status IN ('resolved', 'not_applicable')
            THEN 'RESOLVED'
        WHEN r.resolution_status IN (
                'could_not_resolve', 'escalated_to_analyst'
            )
            THEN 'PENDING'
        WHEN r.resolution_status IS NULL THEN 'PENDING'
        ELSE 'AMBIGUOUS'
    END",resolutions,resolution_status,case_when,,,
CL0014,knowledge_cpe_lifecycle_metrics,knowledge,material_group,m.material_group,dim_material,material_group,direct,,,
CL0015,knowledge_cpe_lifecycle_metrics,knowledge,equipment_category,"CASE
        WHEN m.material_group = 'CPE-RTR' THEN 'Router'
        WHEN m.material_group = 'CPE-ONT' THEN 'ONT'
        WHEN m.material_group = 'CPE-STB' THEN 'Set-Top Box'
        WHEN m.material_group = 'CPE-SWT' THEN 'Switch'
        WHEN m.material_group = 'CPE-MDM' THEN 'Modem'
        ELSE 'Other'
    END",dim_material,material_group,case_when,,,
CL0016,knowledge_cpe_lifecycle_metrics,knowledge,total_devices,COUNT(*),,,aggregation,,,
CL0017,knowledge_cpe_lifecycle_metrics,knowledge,deployed,COUNT(CASE WHEN e.lifecycle_status = 'deployed' THEN 1 END),dim_equipment,lifecycle_status,case_when,,,
CL0018,knowledge_cpe_lifecycle_metrics,knowledge,in_stock,COUNT(CASE WHEN e.lifecycle_status = 'in_stock' THEN 1 END),dim_equipment,lifecycle_status,case_when,,,
CL0019,knowledge_cpe_lifecycle_metrics,knowledge,returned,COUNT(CASE WHEN e.lifecycle_status = 'returned' THEN 1 END),dim_equipment,lifecycle_status,case_when,,,
CL0020,knowledge_cpe_lifecycle_metrics,knowledge,defective,COUNT(CASE WHEN e.lifecycle_status = 'defective' THEN 1 END),dim_equipment,lifecycle_status,case_when,,,
CL0021,knowledge_cpe_lifecycle_metrics,knowledge,deployment_rate_pct,"ROUND(100.0 * COUNT(CASE WHEN e.lifecycle_status = 'deployed' THEN 1 END) / COUNT(*), 1)",100,0,case_when,,,
CL0022,knowledge_cpe_lifecycle_metrics,knowledge,defect_rate_pct,"ROUND(100.0 * COUNT(CASE WHEN e.lifecycle_status = 'defective' THEN 1 END) / COUNT(*), 2)",100,0,case_when,,,
CL0023,knowledge_cpe_lifecycle_metrics,knowledge,return_rate_pct,"ROUND(100.0 * COUNT(CASE WHEN e.lifecycle_status = 'returned' THEN 1 END) / COUNT(*), 2)",100,0,case_when,,,
CL0024,knowledge_cpe_lifecycle_metrics,knowledge,defect_health,"CASE
        WHEN 100.0 * COUNT(CASE WHEN e.lifecycle_status = 'defective' THEN 1 END) / COUNT(*) > 5 THEN 'RED'
        WHEN 100.0 * COUNT(CASE WHEN e.lifecycle_status = 'defective' THEN 1 END) / COUNT(*) > 3 THEN 'YELLOW'
        ELSE 'GREEN'
    END",100,0,case_when,,,
CL0025,knowledge_cpe_lifecycle_metrics,knowledge,return_health,"CASE
        WHEN 100.0 * COUNT(CASE WHEN e.lifecycle_status = 'returned' THEN 1 END) / COUNT(*) > 10 THEN 'RED'
        WHEN 100.0 * COUNT(CASE WHEN e.lifecycle_status = 'returned' THEN 1 END) / COUNT(*) > 5 THEN 'YELLOW'
        ELSE 'GREEN'
    END",100,0,case_when,,,
CL0026,knowledge_inventory_alerts,knowledge,material_number,fi.material_number,fact_inventory,material_number,direct,,,
CL0027,knowledge_inventory_alerts,knowledge,material_description,m.material_description,dim_material,material_description,direct,,,
CL0028,knowledge_inventory_alerts,knowledge,equipment_category,m.equipment_category,dim_material,equipment_category,direct,,,
CL0029,knowledge_inventory_alerts,knowledge,plant_code,fi.plant_code,fact_inventory,plant_code,direct,,,
CL0030,knowledge_inventory_alerts,knowledge,plant_name,p.plant_name,dim_plant,plant_name,direct,,,
CL0031,knowledge_inventory_alerts,knowledge,storage_location,fi.storage_location,fact_inventory,storage_location,direct,,,
CL0032,knowledge_inventory_alerts,knowledge,unrestricted_stock,fi.unrestricted_stock,fact_inventory,unrestricted_stock,direct,,,
CL0033,knowledge_inventory_alerts,knowledge,blocked_stock,fi.blocked_stock,fact_inventory,blocked_stock,direct,,,
CL0034,knowledge_inventory_alerts,knowledge,total_stock,fi.total_stock,fact_inventory,total_stock,direct,,,
CL0035,knowledge_inventory_alerts,knowledge,alert_type,"CASE
        WHEN fi.unrestricted_stock = 0 AND fi.total_stock = 0 THEN 'ZERO_STOCK'
        WHEN fi.blocked_stock > 0 THEN 'BLOCKED_STOCK'
        WHEN fi.unrestricted_stock > 5000 THEN 'EXCESS_STOCK'
        ELSE 'OK'
    END",fact_inventory,unrestricted_stock,case_when,,,
CL0036,knowledge_inventory_alerts,knowledge,health_status,"CASE
        WHEN fi.unrestricted_stock = 0 AND fi.total_stock = 0 THEN 'RED'
        WHEN fi.blocked_stock > 0 THEN 'YELLOW'
        WHEN fi.unrestricted_stock > 5000 THEN 'YELLOW'
        ELSE 'GREEN'
    END",fact_inventory,unrestricted_stock,case_when,,,
CL0037,knowledge_inventory_alerts,knowledge,alert_message,"CASE
        WHEN fi.unrestricted_stock = 0 AND fi.total_stock = 0
            THEN 'No stock available — check if reorder triggered'
        WHEN fi.blocked_stock > 0
            THEN 'Blocked stock present — may need quality review'
        WHEN fi.unrestricted_stock > 5000
            THEN 'Unusually high stock — check for over-ordering'
        ELSE 'Stock levels normal'
    END",fact_inventory,unrestricted_stock,case_when,,,
CL0038,knowledge_pipeline_summary,knowledge,layer,layer,,layer,direct,,,
CL0039,knowledge_pipeline_summary,knowledge,table_count,table_count,,table_count,direct,,,
CL0040,knowledge_pipeline_summary,knowledge,total_objects,SUM(table_count) OVER (),,table_count,aggregation,,,
CL0041,knowledge_procurement_health,knowledge,total_pos,COUNT(DISTINCT purchase_order_number),fact_purchase_orders,purchase_order_number,aggregation,COUNT(DISTINCT purchase_order_number),Unique purchase orders counted,
CL0042,knowledge_procurement_health,knowledge,total_po_items,pm.total_po_items,fact_purchase_orders,total_po_items,direct,,,
CL0043,knowledge_procurement_health,knowledge,avg_lead_time_days,"ROUND(AVG(lead_time_days), 1)",fact_purchase_orders,lead_time_days,aggregation,"ROUND(AVG(lead_time_days), 1)",Average days to receive ordered items,
CL0044,knowledge_procurement_health,knowledge,otd_rate_pct,"ROUND(AVG(CASE WHEN is_on_time THEN 1.0 ELSE 0.0 END) * 100, 1)",1,0,case_when,"ROUND(AVG(CASE WHEN is_on_time THEN 1.0 ELSE 0.0 END) * 100, 1)",Average on-time delivery rate as percentage,
CL0045,knowledge_procurement_health,knowledge,avg_po_cycle_days,"ROUND(AVG(po_cycle_days), 1)",fact_purchase_orders,po_cycle_days,aggregation,"ROUND(AVG(po_cycle_days), 1)",Average days to complete a purchase order,
CL0046,knowledge_procurement_health,knowledge,total_spend_eur,SUM(net_value),fact_purchase_orders,net_value,aggregation,SUM(net_value),Total amount spent in Euros,
CL0047,knowledge_procurement_health,knowledge,pending_deliveries,COUNT(CASE WHEN delivery_status = 'pending' THEN 1 END),fact_purchase_orders,delivery_status,case_when,COUNT(CASE WHEN delivery_status = 'pending' THEN 1 END),Count of orders awaiting delivery,
CL0048,knowledge_procurement_health,knowledge,partial_deliveries,COUNT(CASE WHEN delivery_status = 'partially_received' THEN 1 END),fact_purchase_orders,delivery_status,case_when,COUNT(CASE WHEN delivery_status = 'partially_received' THEN 1 END),Count of orders partially received,
CL0049,knowledge_procurement_health,knowledge,otd_health,"CASE
        WHEN pm.otd_rate_pct >= 80 THEN 'GREEN'
        WHEN pm.otd_rate_pct >= 60 THEN 'YELLOW'
        ELSE 'RED'
    END",1,0,case_when,"ROUND(AVG(CASE WHEN is_on_time THEN 1.0 ELSE 0.0 END) * 100, 1);CASE
        WHEN pm.otd_rate_pct >= 80 THEN 'GREEN'
        WHEN pm.otd_rate_pct >= 60 THEN 'YELLOW'
        ELSE 'RED'
    END",On-time delivery percentage across orders;Traffic light status for delivery performance,
CL0050,knowledge_procurement_health,knowledge,lead_time_health,"CASE
        WHEN pm.avg_lead_time_days <= 35 THEN 'GREEN'
        WHEN pm.avg_lead_time_days <= 50 THEN 'YELLOW'
        ELSE 'RED'
    END",fact_purchase_orders,lead_time_days,case_when,"ROUND(AVG(lead_time_days), 1);CASE
        WHEN pm.avg_lead_time_days <= 35 THEN 'GREEN'
        WHEN pm.avg_lead_time_days <= 50 THEN 'YELLOW'
        ELSE 'RED'
    END",Average supplier lead time in days;Lead time performance status indicator,
CL0051,knowledge_procurement_health,knowledge,cycle_time_health,"CASE
        WHEN pm.avg_po_cycle_days <= 5 THEN 'GREEN'
        WHEN pm.avg_po_cycle_days <= 10 THEN 'YELLOW'
        ELSE 'RED'
    END",fact_purchase_orders,po_cycle_days,case_when,"ROUND(AVG(po_cycle_days), 1);CASE
        WHEN pm.avg_po_cycle_days <= 5 THEN 'GREEN'
        WHEN pm.avg_po_cycle_days <= 10 THEN 'YELLOW'
        ELSE 'RED'
    END",Average days to complete purchase order;Purchase order speed performance status,
CL0052,knowledge_procurement_health,knowledge,highest_concentration_vendor,vc.vendor_name,obt_vendor_scorecard,vendor_name,direct,,,
CL0053,knowledge_procurement_health,knowledge,highest_concentration_pct,"ROUND(MAX(vendor_spend_share) * 100, 1)",obt_vendor_scorecard,vendor_spend_share,aggregation,"ROUND(MAX(vendor_spend_share) * 100, 1)",Top vendor's share of total spend percentage,
CL0054,knowledge_procurement_health,knowledge,has_concentration_risk,BOOL_OR(concentration_risk_flag),obt_vendor_scorecard,BOOL_OR,derived,BOOL_OR(concentration_risk_flag),Any supplier with concentration risk identified,
CL0055,knowledge_procurement_health,knowledge,concentration_health,"CASE
        WHEN vc.has_concentration_risk THEN 'RED'
        WHEN vc.max_spend_share_pct > 50 THEN 'YELLOW'
        ELSE 'GREEN'
    END",obt_vendor_scorecard,BOOL_OR,case_when,"BOOL_OR(concentration_risk_flag);CASE
        WHEN vc.has_concentration_risk THEN 'RED'
        WHEN vc.max_spend_share_pct > 50 THEN 'YELLOW'
        ELSE 'GREEN'
    END",Any supplier has concentration risk flag;Color code concentration risk level,
CL0056,knowledge_procurement_health,knowledge,total_stock_units,"ROUND(SUM(total_stock), 0)",fact_inventory,total_stock,aggregation,"ROUND(SUM(total_stock), 0)",Total inventory units rounded to whole number,
CL0057,knowledge_procurement_health,knowledge,zero_stock_locations,COUNT(CASE WHEN is_zero_stock AND total_stock = 0 THEN 1 END),fact_inventory,is_zero_stock,case_when,COUNT(CASE WHEN is_zero_stock AND total_stock = 0 THEN 1 END),Locations with no stock on hand,
CL0058,knowledge_procurement_health,knowledge,blocked_stock_locations,COUNT(CASE WHEN has_blocked_stock THEN 1 END),fact_inventory,has_blocked_stock,case_when,COUNT(CASE WHEN has_blocked_stock THEN 1 END),Locations with blocked stock inventory count,
CL0059,knowledge_procurement_health,knowledge,inventory_health,"CASE
        WHEN ia.zero_stock_locations > 5 THEN 'RED'
        WHEN ia.zero_stock_locations > 0 THEN 'YELLOW'
        ELSE 'GREEN'
    END",fact_inventory,is_zero_stock,case_when,"COUNT(CASE WHEN is_zero_stock AND total_stock = 0 THEN 1 END);CASE
        WHEN ia.zero_stock_locations > 5 THEN 'RED'
        WHEN ia.zero_stock_locations > 0 THEN 'YELLOW'
        ELSE 'GREEN'
    END",Count locations with no stock available;Flag inventory health red yellow or green,
CL0060,knowledge_vendor_performance,knowledge,vendor_id,v.vendor_id,dim_vendor,vendor_id,direct,,,
CL0061,knowledge_vendor_performance,knowledge,vendor_name,v.vendor_name,dim_vendor,vendor_name,direct,,,
CL0062,knowledge_vendor_performance,knowledge,country_code,v.country_code,dim_vendor,country_code,direct,,,
