id,from_model,from_layer,to_model,to_layer,relationship_type,join_key,label
R0001,obt_active_cpe_count,other,dim_equipment,marts,pipeline,,reads from
R0002,knowledge_cpe_lifecycle_metrics,knowledge,dim_equipment,marts,pipeline,,reads from
R0003,knowledge_cpe_lifecycle_metrics,knowledge,dim_material,marts,pipeline,,reads from
R0004,knowledge_inventory_alerts,knowledge,fact_inventory,marts,pipeline,,reads from
R0005,knowledge_inventory_alerts,knowledge,dim_material,marts,pipeline,,reads from
R0006,knowledge_inventory_alerts,knowledge,dim_plant,marts,pipeline,,reads from
R0007,knowledge_procurement_health,knowledge,fact_purchase_orders,marts,pipeline,,reads from
R0008,knowledge_procurement_health,knowledge,obt_vendor_scorecard,obt,pipeline,,reads from
R0009,knowledge_procurement_health,knowledge,fact_inventory,marts,pipeline,,reads from
R0010,knowledge_vendor_performance,knowledge,dim_vendor,marts,pipeline,,reads from
R0011,knowledge_vendor_performance,knowledge,fact_purchase_orders,marts,pipeline,,reads from
R0012,dim_customer,marts,hub_customer,vault,pipeline,,reads from
R0013,dim_customer,marts,sat_customer,vault,pipeline,,reads from
R0014,dim_customer,marts,sat_customer,vault,pipeline,,reads from
R0015,dim_equipment,marts,sat_equipment_status,vault,pipeline,,reads from
R0016,dim_equipment,marts,hub_equipment,vault,pipeline,,reads from
R0017,dim_equipment,marts,sat_equipment_general,vault,pipeline,,reads from
R0018,dim_equipment,marts,sat_equipment_general,vault,pipeline,,reads from
R0019,dim_equipment,marts,link_equipment_material,vault,pipeline,,reads from
R0020,dim_material,marts,hub_material,vault,pipeline,,reads from
R0021,dim_material,marts,sat_material_general,vault,pipeline,,reads from
R0022,dim_material,marts,sat_material_general,vault,pipeline,,reads from
R0023,dim_material,marts,sat_material_description,vault,pipeline,,reads from
R0024,dim_material,marts,sat_material_description,vault,pipeline,,reads from
R0025,dim_movement_type,marts,sat_movement_type,vault,pipeline,,reads from
R0026,dim_movement_type,marts,sat_movement_type,vault,pipeline,,reads from
R0027,dim_movement_type,marts,sat_movement_type_text,vault,pipeline,,reads from
R0028,dim_movement_type,marts,sat_movement_type_text,vault,pipeline,,reads from
R0029,dim_movement_type,marts,hub_movement_type,vault,pipeline,,reads from
R0030,dim_plant,marts,hub_plant,vault,pipeline,,reads from
R0031,dim_plant,marts,raw_sap.t001w,raw,source,,reads from raw_sap.t001w
R0032,dim_plant,marts,raw_sap.t001,raw,source,,reads from raw_sap.t001
R0033,dim_service_plan,marts,hub_service_plan,vault,pipeline,,reads from
R0034,dim_service_plan,marts,sat_service_plan,vault,pipeline,,reads from
R0035,dim_service_plan,marts,sat_service_plan,vault,pipeline,,reads from
R0036,dim_storage_location,marts,raw_sap.t001l,raw,source,,reads from raw_sap.t001l
R0037,dim_storage_location,marts,raw_sap.t001w,raw,source,,reads from raw_sap.t001w
R0038,dim_vendor,marts,hub_vendor,vault,pipeline,,reads from
R0039,dim_vendor,marts,sat_vendor_general,vault,pipeline,,reads from
R0040,dim_vendor,marts,sat_vendor_general,vault,pipeline,,reads from
R0041,dim_vendor,marts,sat_vendor_commercial,vault,pipeline,,reads from
R0042,dim_vendor,marts,sat_vendor_commercial,vault,pipeline,,reads from
R0043,fact_contribution_margin_by_segment,marts,sat_billing_document,vault,pipeline,,reads from
R0044,fact_contribution_margin_by_segment,marts,link_billing_sales_order,vault,pipeline,,reads from
R0045,fact_contribution_margin_by_segment,marts,sat_billing_document,vault,pipeline,,reads from
R0046,fact_contribution_margin_by_segment,marts,link_sales_order_equipment,vault,pipeline,,reads from
R0047,fact_contribution_margin_by_segment,marts,sat_sales_order_item,vault,pipeline,,reads from
R0048,fact_contribution_margin_by_segment,marts,sat_equipment_general,vault,pipeline,,reads from
R0049,fact_contribution_margin_by_segment,marts,link_sales_order_equipment,vault,pipeline,,reads from
R0050,fact_contribution_margin_by_segment,marts,link_equipment_gr,vault,pipeline,,reads from
R0051,fact_contribution_margin_by_segment,marts,link_gr_po,vault,pipeline,,reads from
R0052,fact_contribution_margin_by_segment,marts,link_po_material,vault,pipeline,,reads from
R0053,fact_contribution_margin_by_segment,marts,sat_po_item,vault,pipeline,,reads from
R0054,fact_equipment_lifecycle,marts,sat_equipment_status,vault,pipeline,,reads from
R0055,fact_equipment_lifecycle,marts,hub_equipment,vault,pipeline,,reads from
R0056,fact_equipment_lifecycle,marts,sat_equipment_general,vault,pipeline,,reads from
R0057,fact_equipment_lifecycle,marts,sat_equipment_general,vault,pipeline,,reads from
R0058,fact_equipment_lifecycle,marts,link_equipment_material,vault,pipeline,,reads from
R0059,fact_goods_movements,marts,link_gr_material,vault,pipeline,,reads from
R0060,fact_goods_movements,marts,hub_material_document,vault,pipeline,,reads from
R0061,fact_goods_movements,marts,sat_gr_header,vault,pipeline,,reads from
R0062,fact_goods_movements,marts,sat_gr_item,vault,pipeline,,reads from
R0063,fact_goods_receipt_accuracy,marts,sat_gr_item,vault,pipeline,,reads from
R0064,fact_goods_receipt_accuracy,marts,sat_gr_item,vault,pipeline,,reads from
R0065,fact_goods_receipt_accuracy,marts,sat_gr_header,vault,pipeline,,reads from
R0066,fact_goods_receipt_accuracy,marts,sat_gr_header,vault,pipeline,,reads from
R0067,fact_goods_receipt_accuracy,marts,sat_po_item,vault,pipeline,,reads from
R0068,fact_goods_receipt_accuracy,marts,sat_po_item,vault,pipeline,,reads from
R0069,fact_goods_receipt_accuracy,marts,link_gr_material,vault,pipeline,,reads from
R0070,fact_goods_receipt_accuracy,marts,link_po_material,vault,pipeline,,reads from
R0071,fact_goods_receipts_monthly,marts,sat_gr_item,vault,pipeline,,reads from
R0072,fact_goods_receipts_monthly,marts,sat_gr_item,vault,pipeline,,reads from
R0073,fact_goods_receipts_monthly,marts,sat_gr_header,vault,pipeline,,reads from
R0074,fact_goods_receipts_monthly,marts,sat_gr_header,vault,pipeline,,reads from
R0075,fact_goods_receipts_monthly,marts,link_gr_material,vault,pipeline,,reads from
R0076,fact_inventory,marts,sat_stock_level,vault,pipeline,,reads from
R0077,fact_inventory,marts,hub_material,vault,pipeline,,reads from
R0078,fact_inventory,marts,hub_plant,vault,pipeline,,reads from
R0079,fact_inventory,marts,sat_stock_level,vault,pipeline,,reads from
R0080,fact_invoices,marts,hub_invoice,vault,pipeline,,reads from
R0081,fact_invoices,marts,sat_invoice_header,vault,pipeline,,reads from
R0082,fact_invoices,marts,sat_invoice_header,vault,pipeline,,reads from
R0083,fact_invoices,marts,link_invoice_po,vault,pipeline,,reads from
R0084,fact_invoices,marts,sat_po_header,vault,pipeline,,reads from
R0085,fact_invoices,marts,sat_po_header,vault,pipeline,,reads from
R0086,fact_po_invoice_match_variance,marts,sat_po_header,vault,pipeline,,reads from
R0087,fact_po_invoice_match_variance,marts,sat_po_header,vault,pipeline,,reads from
R0088,fact_po_invoice_match_variance,marts,sat_po_item,vault,pipeline,,reads from
R0089,fact_po_invoice_match_variance,marts,sat_po_item,vault,pipeline,,reads from
R0090,fact_po_invoice_match_variance,marts,sat_gr_item,vault,pipeline,,reads from
R0091,fact_po_invoice_match_variance,marts,sat_gr_item,vault,pipeline,,reads from
R0092,fact_po_invoice_match_variance,marts,sat_invoice_item,vault,pipeline,,reads from
R0093,fact_po_invoice_match_variance,marts,sat_invoice_item,vault,pipeline,,reads from
R0094,fact_po_invoice_match_variance,marts,sat_zmm_approval,vault,pipeline,,reads from
R0095,fact_po_invoice_match_variance,marts,sat_zmm_approval,vault,pipeline,,reads from
R0096,fact_po_invoice_match_variance,marts,link_po_material,vault,pipeline,,reads from
R0097,fact_po_invoice_match_variance,marts,link_po_vendor,vault,pipeline,,reads from
R0098,fact_purchase_orders,marts,sat_po_header,vault,pipeline,,reads from
R0099,fact_purchase_orders,marts,sat_po_header,vault,pipeline,,reads from
R0100,fact_purchase_orders,marts,sat_po_item,vault,pipeline,,reads from
R0101,fact_purchase_orders,marts,sat_po_item,vault,pipeline,,reads from
R0102,fact_purchase_orders,marts,sat_po_schedule,vault,pipeline,,reads from
R0103,fact_purchase_orders,marts,sat_po_schedule,vault,pipeline,,reads from
R0104,fact_purchase_orders,marts,sat_po_account,vault,pipeline,,reads from
R0105,fact_purchase_orders,marts,sat_po_account,vault,pipeline,,reads from
R0106,fact_purchase_orders,marts,link_gr_po,vault,pipeline,,reads from
R0107,fact_purchase_orders,marts,sat_gr_header,vault,pipeline,,reads from
R0108,fact_purchase_orders,marts,sat_gr_item,vault,pipeline,,reads from
R0109,fact_purchase_orders,marts,link_pr_po,vault,pipeline,,reads from
R0110,fact_purchase_orders,marts,sat_pr_detail,vault,pipeline,,reads from
R0111,fact_purchase_orders,marts,link_po_vendor,vault,pipeline,,reads from
R0112,fact_purchase_orders,marts,link_po_material,vault,pipeline,,reads from
R0113,obt_cpe_contribution_margin_by_segment,obt,fact_contribution_margin_by_segment,marts,pipeline,,reads from
R0114,obt_cpe_lifecycle,obt,dim_equipment,marts,pipeline,,reads from
R0115,obt_cpe_lifecycle,obt,dim_material,marts,pipeline,,reads from
R0116,obt_goods_movements,obt,fact_goods_movements,marts,pipeline,,reads from
R0117,obt_goods_movements,obt,dim_material,marts,pipeline,,reads from
R0118,obt_goods_movements,obt,dim_date,marts,pipeline,,reads from
R0119,obt_goods_movements,obt,dim_movement_type,marts,pipeline,,reads from
R0120,obt_goods_movements,obt,dim_plant,marts,pipeline,,reads from
R0121,obt_inventory_health,obt,fact_inventory,marts,pipeline,,reads from
R0122,obt_inventory_health,obt,dim_material,marts,pipeline,,reads from
R0123,obt_inventory_health,obt,dim_plant,marts,pipeline,,reads from
R0124,obt_inventory_health,obt,dim_storage_location,marts,pipeline,,reads from
R0125,obt_procurement_overview,obt,fact_purchase_orders,marts,pipeline,,reads from
R0126,obt_procurement_overview,obt,dim_vendor,marts,pipeline,,reads from
R0127,obt_procurement_overview,obt,dim_material,marts,pipeline,,reads from
R0128,obt_procurement_overview,obt,dim_date,marts,pipeline,,reads from
R0129,obt_vendor_scorecard,obt,fact_purchase_orders,marts,pipeline,,reads from
R0130,obt_vendor_scorecard,obt,dim_vendor,marts,pipeline,,reads from
R0131,obt_vendor_scorecard,obt,dim_date,marts,pipeline,,reads from
R0132,stg_sap__bkpf,staging,raw_sap.bkpf,raw,source,,reads from raw_sap.bkpf
R0133,stg_sap__bseg,staging,raw_sap.bseg,raw,source,,reads from raw_sap.bseg
R0134,stg_sap__eban,staging,raw_sap.eban,raw,source,,reads from raw_sap.eban
R0135,stg_sap__ebkn,staging,raw_sap.ebkn,raw,source,,reads from raw_sap.ebkn
R0136,stg_sap__ekbe,staging,raw_sap.ekbe,raw,source,,reads from raw_sap.ekbe
R0137,stg_sap__eket,staging,raw_sap.eket,raw,source,,reads from raw_sap.eket
R0138,stg_sap__ekkn,staging,raw_sap.ekkn,raw,source,,reads from raw_sap.ekkn
R0139,stg_sap__ekko,staging,raw_sap.ekko,raw,source,,reads from raw_sap.ekko
R0140,stg_sap__ekpo,staging,raw_sap.ekpo,raw,source,,reads from raw_sap.ekpo
R0141,stg_sap__eqbs,staging,raw_sap.eqbs,raw,source,,reads from raw_sap.eqbs
R0142,stg_sap__equi,staging,raw_sap.equi,raw,source,,reads from raw_sap.equi
R0143,stg_sap__kna1,staging,raw_sap.kna1,raw,source,,reads from raw_sap.kna1
R0144,stg_sap__lfa1,staging,raw_sap.lfa1,raw,source,,reads from raw_sap.lfa1
R0145,stg_sap__lfb1,staging,raw_sap.lfb1,raw,source,,reads from raw_sap.lfb1
R0146,stg_sap__lfm1,staging,raw_sap.lfm1,raw,source,,reads from raw_sap.lfm1
R0147,stg_sap__makt,staging,raw_sap.makt,raw,source,,reads from raw_sap.makt
R0148,stg_sap__mara,staging,raw_sap.mara,raw,source,,reads from raw_sap.mara
R0149,stg_sap__marc,staging,raw_sap.marc,raw,source,,reads from raw_sap.marc
R0150,stg_sap__mard,staging,raw_sap.mard,raw,source,,reads from raw_sap.mard
R0151,stg_sap__marm,staging,raw_sap.marm,raw,source,,reads from raw_sap.marm
R0152,stg_sap__mkpf,staging,raw_sap.mkpf,raw,source,,reads from raw_sap.mkpf
R0153,stg_sap__mseg,staging,raw_sap.mseg,raw,source,,reads from raw_sap.mseg
R0154,stg_sap__objk,staging,raw_sap.objk,raw,source,,reads from raw_sap.objk
R0155,stg_sap__rbkp,staging,raw_sap.rbkp,raw,source,,reads from raw_sap.rbkp
R0156,stg_sap__resb,staging,raw_sap.resb,raw,source,,reads from raw_sap.resb
R0157,stg_sap__rkpf,staging,raw_sap.rkpf,raw,source,,reads from raw_sap.rkpf
R0158,stg_sap__rseg,staging,raw_sap.rseg,raw,source,,reads from raw_sap.rseg
R0159,stg_sap__ser01,staging,raw_sap.ser01,raw,source,,reads from raw_sap.ser01
R0160,stg_sap__ser03,staging,raw_sap.ser03,raw,source,,reads from raw_sap.ser03
R0161,stg_sap__seri,staging,raw_sap.seri,raw,source,,reads from raw_sap.seri
R0162,stg_sap__t001,staging,raw_sap.t001,raw,source,,reads from raw_sap.t001
R0163,stg_sap__t001l,staging,raw_sap.t001l,raw,source,,reads from raw_sap.t001l
R0164,stg_sap__t001w,staging,raw_sap.t001w,raw,source,,reads from raw_sap.t001w
R0165,stg_sap__t023,staging,raw_sap.t023,raw,source,,reads from raw_sap.t023
R0166,stg_sap__t024,staging,raw_sap.t024,raw,source,,reads from raw_sap.t024
R0167,stg_sap__t024e,staging,raw_sap.t024e,raw,source,,reads from raw_sap.t024e
R0168,stg_sap__t156,staging,raw_sap.t156,raw,source,,reads from raw_sap.t156
R0169,stg_sap__t156t,staging,raw_sap.t156t,raw,source,,reads from raw_sap.t156t
R0170,stg_sap__vbak,staging,raw_sap.vbak,raw,source,,reads from raw_sap.vbak
R0171,stg_sap__vbap,staging,raw_sap.vbap,raw,source,,reads from raw_sap.vbap
