table_name,module,table_category,source_release_stamp,brief_description,key_fields,brief_field_descriptions,scrape_source,scrape_date
BKPF,accounting,TRANSP,2011-09-08,Accounting Document Header,"MANDT, BUKRS, BELNR, GJAHR, BLART, BLDAT, BUDAT, MONAT, CPUDT, CPUTM, AEDAT, UPDDT, WWERT, USNAM, TCODE, BVORG, XBLNR, DBBLG","{""MANDT"": ""Client"", ""BUKRS"": ""Company Code"", ""BELNR"": ""Accounting Document Number"", ""GJAHR"": ""Fiscal Year"", ""BLART"": ""Document type"", ""BLDAT"": ""Document Date in Document"", ""BUDAT"": ""Posting Date in the Document"", ""MONAT"": ""Fiscal period"", ""CPUDT"": ""Accounting document entry date"", ""CPUTM"": ""Time of data entry"", ""AEDAT"": ""Date of the Last Document Change by Transaction"", ""UPDDT"": ""Date of the Last Document Update"", ""WWERT"": ""Translation date"", ""USNAM"": ""User name"", ""TCODE"": ""Transaction Code"", ""BVORG"": ""Number of Cross-Company Code Posting Transaction"", ""XBLNR"": ""Reference Document Number"", ""DBBLG"": ""Recurring Entry Document Number""}",sapdatasheet.org,2026-04-27
BSEG,accounting,CLUSTER,2014-01-21,Accounting Document Segment,"MANDT, BUKRS, BELNR, GJAHR, BUZEI, BUZID, AUGDT, AUGCP, AUGBL, BSCHL, KOART, UMSKZ, UMSKS, ZUMSK, SHKZG, GSBER, PARGB, MWSKZ","{""MANDT"": ""Client"", ""BUKRS"": ""Company Code"", ""BELNR"": ""Accounting Document Number"", ""GJAHR"": ""Fiscal Year"", ""BUZEI"": ""Number of Line Item Within Accounting Document"", ""BUZID"": ""Identification of the Line Item"", ""AUGDT"": ""Clearing Date"", ""AUGCP"": ""Clearing Entry Date"", ""AUGBL"": ""Document Number of the Clearing Document"", ""BSCHL"": ""Posting Key"", ""KOART"": ""Account type"", ""UMSKZ"": ""Special G/L Indicator"", ""UMSKS"": ""Special G/L Transaction Type"", ""ZUMSK"": ""Target Special G/L Indicator"", ""SHKZG"": ""Debit/Credit Indicator"", ""GSBER"": ""Business Area"", ""PARGB"": ""Trading partner's business area"", ""MWSKZ"": ""Tax on sales/purchases code""}",sapdatasheet.org,2026-04-27
EBAN,procurement,TRANSP,2013-06-04,Purchase Requisition,"MANDT, BANFN, BNFPO, BSART, BSTYP, BSAKZ, LOEKZ, STATU, ESTKZ, FRGKZ, FRGZU, FRGST, EKGRP, ERNAM, ERDAT, AFNAM, TXZ01, MATNR","{""MANDT"": ""Client"", ""BANFN"": ""Purchase requisition number"", ""BNFPO"": ""Item number of purchase requisition"", ""BSART"": ""Purchase Requisition Document Type"", ""BSTYP"": ""Purchasing document category"", ""BSAKZ"": ""Control indicator for purchasing document type"", ""LOEKZ"": ""Deletion indicator in purchasing document"", ""STATU"": ""Processing status of purchase requisition"", ""ESTKZ"": ""Creation indicator (purchase requisition/schedule lines)"", ""FRGKZ"": ""Release Indicator"", ""FRGZU"": ""Release status"", ""FRGST"": ""Release strategy in the purchase requisition"", ""EKGRP"": ""Purchasing group"", ""ERNAM"": ""Name of Person who Created the Object"", ""ERDAT"": ""Last Changed On"", ""AFNAM"": ""Name of requisitioner/requester"", ""TXZ01"": ""Short Text"", ""MATNR"": ""Material Number""}",sapdatasheet.org,2026-04-27
EBKN,procurement,TRANSP,2011-09-01,Purchase Requisition Account Assignment,"MANDT, BANFN, BNFPO, ZEBKN, LOEKZ, ERDAT, ERNAM, MENGE, VPROZ, SAKTO, GSBER, KOSTL, PROJN, VBELN, VBELP, VETEN, ANLN1, ANLN2","{""MANDT"": ""Client"", ""BANFN"": ""Purchase requisition number"", ""BNFPO"": ""Item number of purchase requisition"", ""ZEBKN"": ""Serial number for PReq account assignment segment"", ""LOEKZ"": ""Deletion indicator in purchasing document"", ""ERDAT"": ""Date on which the record was created"", ""ERNAM"": ""Name of Person who Created the Object"", ""MENGE"": ""Purchase requisition quantity"", ""VPROZ"": ""Distribution percentage in the case of multiple acct assgt"", ""SAKTO"": ""G/L Account Number"", ""GSBER"": ""Business Area"", ""KOSTL"": ""Cost Center"", ""PROJN"": ""Old: Project number : No longer used --> PS_POSNR"", ""VBELN"": ""Sales and Distribution Document Number"", ""VBELP"": ""Sales Document Item"", ""VETEN"": ""Schedule line"", ""ANLN1"": ""Main Asset Number"", ""ANLN2"": ""Asset Subnumber""}",sapdatasheet.org,2026-04-27
EKBE,procurement,TRANSP,2013-05-29,History per Purchasing Document,"MANDT, EBELN, EBELP, ZEKKN, VGABE, GJAHR, BELNR, BUZEI, BEWTP, BWART, BUDAT, MENGE, BPMNG, DMBTR, WRBTR, WAERS, AREWR, WESBS","{""MANDT"": ""Client"", ""EBELN"": ""Purchasing Document Number"", ""EBELP"": ""Item Number of Purchasing Document"", ""ZEKKN"": ""Sequential Number of Account Assignment"", ""VGABE"": ""Transaction/event type, purchase order history"", ""GJAHR"": ""Year of material document"", ""BELNR"": ""Number of Material Document"", ""BUZEI"": ""Item in material document"", ""BEWTP"": ""Purchase Order History Category"", ""BWART"": ""Movement type (inventory management)"", ""BUDAT"": ""Posting Date in the Document"", ""MENGE"": ""Quantity"", ""BPMNG"": ""Quantity in purchase order price unit"", ""DMBTR"": ""Amount in local currency"", ""WRBTR"": ""Amount in document currency"", ""WAERS"": ""Currency Key"", ""AREWR"": ""GR/IR account clearing value in local currency"", ""WESBS"": ""Goods receipt blocked stock in order unit""}",sapdatasheet.org,2026-04-27
EKET,procurement,TRANSP,2013-05-29,Scheduling Agreement Schedule Lines,"MANDT, EBELN, EBELP, ETENR, EINDT, SLFDT, LPEIN, MENGE, AMENG, WEMNG, WAMNG, UZEIT, BANFN, BNFPO, ESTKZ, QUNUM, QUPOS, MAHNZ","{""MANDT"": ""Client"", ""EBELN"": ""Purchasing Document Number"", ""EBELP"": ""Item Number of Purchasing Document"", ""ETENR"": ""Delivery Schedule Line Counter"", ""EINDT"": ""Item delivery date"", ""SLFDT"": ""Statistics-Relevant Delivery Date"", ""LPEIN"": ""Category of delivery date"", ""MENGE"": ""Scheduled Quantity"", ""AMENG"": ""Previous Quantity (Delivery Schedule Lines)"", ""WEMNG"": ""Quantity of goods received"", ""WAMNG"": ""Issued quantity"", ""UZEIT"": ""Delivery Date Time-Spot"", ""BANFN"": ""Purchase requisition number"", ""BNFPO"": ""Item number of purchase requisition"", ""ESTKZ"": ""Creation indicator (purchase requisition/schedule lines)"", ""QUNUM"": ""Number of quota arrangement"", ""QUPOS"": ""Quota arrangement item"", ""MAHNZ"": ""No. of Reminders/Expediters for Schedule Line""}",sapdatasheet.org,2026-04-27
EKKN,procurement,TRANSP,2013-06-04,Account Assignment in Purchasing Document,"MANDT, EBELN, EBELP, ZEKKN, LOEKZ, AEDAT, KFLAG, MENGE, VPROZ, NETWR, SAKTO, GSBER, KOSTL, PROJN, VBELN, VBELP, VETEN, KZBRB","{""MANDT"": ""Client"", ""EBELN"": ""Purchasing Document Number"", ""EBELP"": ""Item Number of Purchasing Document"", ""ZEKKN"": ""Sequential Number of Account Assignment"", ""LOEKZ"": ""Deletion Indicator: Purchasing Document Account Assignment"", ""AEDAT"": ""Date on which the record was created"", ""KFLAG"": ""Change flag: Purchasing (currently not used)"", ""MENGE"": ""Quantity"", ""VPROZ"": ""Distribution percentage in the case of multiple acct assgt"", ""NETWR"": ""Net Order Value in PO Currency"", ""SAKTO"": ""G/L Account Number"", ""GSBER"": ""Business Area"", ""KOSTL"": ""Cost Center"", ""PROJN"": ""Old: Project number : No longer used --> PS_POSNR"", ""VBELN"": ""Sales and Distribution Document Number"", ""VBELP"": ""Sales Document Item"", ""VETEN"": ""Schedule line"", ""KZBRB"": ""Gross requirements indicator""}",sapdatasheet.org,2026-04-27
EKKO,procurement,TRANSP,2013-06-04,Purchasing Document Header,"MANDT, EBELN, BUKRS, BSTYP, BSART, BSAKZ, LOEKZ, STATU, AEDAT, ERNAM, PINCR, LPONR, LIFNR, SPRAS, ZTERM, ZBD1T, ZBD2T, ZBD3T","{""MANDT"": ""Client"", ""EBELN"": ""Purchasing Document Number"", ""BUKRS"": ""Company Code"", ""BSTYP"": ""Purchasing Document Category"", ""BSART"": ""Purchasing Document Type"", ""BSAKZ"": ""Control indicator for purchasing document type"", ""LOEKZ"": ""Deletion indicator in purchasing document"", ""STATU"": ""Status of Purchasing Document"", ""AEDAT"": ""Date on which the record was created"", ""ERNAM"": ""Name of Person who Created the Object"", ""PINCR"": ""Item Number Interval"", ""LPONR"": ""Last Item Number"", ""LIFNR"": ""Vendor's account number"", ""SPRAS"": ""Language Key"", ""ZTERM"": ""Terms of payment key"", ""ZBD1T"": ""Cash (Prompt Payment) Discount Days"", ""ZBD2T"": ""Cash (Prompt Payment) Discount Days"", ""ZBD3T"": ""Cash (Prompt Payment) Discount Days""}",sapdatasheet.org,2026-04-27
EKPO,procurement,TRANSP,2013-06-04,Purchasing Document Item,"MANDT, EBELN, EBELP, LOEKZ, STATU, AEDAT, TXZ01, MATNR, EMATN, BUKRS, WERKS, LGORT, BEDNR, MATKL, INFNR, IDNLF, KTMNG, MENGE","{""MANDT"": ""Client"", ""EBELN"": ""Purchasing Document Number"", ""EBELP"": ""Item Number of Purchasing Document"", ""LOEKZ"": ""Deletion indicator in purchasing document"", ""STATU"": ""RFQ status"", ""AEDAT"": ""Purchasing Document Item Change Date"", ""TXZ01"": ""Short Text"", ""MATNR"": ""Material Number"", ""EMATN"": ""Material number"", ""BUKRS"": ""Company Code"", ""WERKS"": ""Plant"", ""LGORT"": ""Storage location"", ""BEDNR"": ""Requirement Tracking Number"", ""MATKL"": ""Material Group"", ""INFNR"": ""Number of purchasing info record"", ""IDNLF"": ""Material Number Used by Vendor"", ""KTMNG"": ""Target Quantity"", ""MENGE"": ""Purchase Order Quantity""}",sapdatasheet.org,2026-04-27
EQBS,equipment_serial,TRANSP,2004-12-09,Serial Number Stock Segment,"MANDT, EQUNR, LBBSA, B_WERK, B_LAGER, B_CHARGE, SOBKZ, KUNNR, LIFNR, KDAUF, KDPOS, PS_PSP_PNR","{""MANDT"": ""Client"", ""EQUNR"": ""Equipment Number"", ""LBBSA"": ""Stock Type of Goods Movement (Primary Posting)"", ""B_WERK"": ""Plant"", ""B_LAGER"": ""Storage location"", ""B_CHARGE"": ""Batch Number"", ""SOBKZ"": ""Special Stock Indicator"", ""KUNNR"": ""Customer account number"", ""LIFNR"": ""Account number of the vendor"", ""KDAUF"": ""Sales Order Number"", ""KDPOS"": ""Item number in Sales Order"", ""PS_PSP_PNR"": ""Work Breakdown Structure Element (WBS Element)""}",sapdatasheet.org,2026-04-27
